CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Bgm,Saja,,,,,
Speaker,저승사자,,,,,
Char,Saja,,,,,
Text,궁금한 게 있나?,,,,,
Label,cho,,,,,
Choice,없다.,no,해야할 일에 관해,work,한국에서의 이름에 관해,name
Label,no,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,그럼 빨리 시작하지 뭐하는 거야!,,,,,
End,,,,,,
Label,work,,,,,
Text,"먼저, 현장을 조사해서 <color=#26EEFF>영혼의 이름</color>을 추리한다.",,,,,
Text,"다음으로, <color=#26EEFF>영파 탐지기</color>에는 그 층에 있는 <color=#26EEFF>한</color>이 있는 모든 영혼들의 이름이 표시될거야.",,,,,
Text,탐지기에서 특정 파동의 진폭과 주파수를 맞추면 그 파동에 대응하는 영혼의 <color=#26EEFF>혼잣말</color>을 들을 수 있지.,,,,,
Text,"그리고탐지기의 파동에 대응하는 <color=#26EEFF>영혼의 이름</color>을 불러야, 그 영혼의 자아를 되찾아줄 수 있어.",,,,,
Text,"이때 그 영혼과 <color=#26EEFF>같은 공간</color>에 있어야 하니, 알고 있으라고!",,,,,
Text,그리고 <color=#26EEFF>영혼 탐지경</color>을 쓰면 영혼들을 볼 수 있을거야.,,,,,
Text,탐지경이 불편해서 현장을 조사하기는 불편하겠지만... 여하튼.,,,,,
Text,또 궁금한게 있나?,,,,,
Jump,cho,,,,,
Label,name,,,,,
Text,응? 외국에서 살다 왔나?,,,,,
Text,"한국은 부모 중 한 명에게 받은 <color=#26EEFF>성이 앞쪽, 이름이 뒷쪽</color>에 온다.",,,,,
Text,그리고 형제끼리는 성이 똑같지.,,,,,
Text,그리고 결혼하더라도 한쪽이 성을 바꾸지는 않아.,,,,,
Text,또 궁금한게 있나?,,,,,
Jump,cho,,,,,
