CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F2_C,,,,,
Char,Saja_What,,,,,
Speaker,사자,,,,,
Text,"휴... <color=#26EEFF>처음</color> 해보는거라 긴장했는데, 다행히 잘 끝났군.",,,,,
Choice,네?,pardon,사자님도 신입?,newbie,저승사자가 아니라 뻥쟁이였네...,newbie
Label,pardon,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,아... 아무것도 아니야!,,,,,
Jump,anyway,,,,,
Label,newbie,,,,,
Text,으... 으으...!,,,,,
Char,Saja_Angry,,,,,
Text,그래도 너보다는 조금 더 일찍 사자가 되었을걸!,,,,,
Text,아님 말고!!!,,,,,
Label,anyway,,,,,
Char,Saja,,,,,
Text,어쨌거나... 잘 해냈군. 앞으로도 이렇게 잘 해내면 될거다!,,,,,
Text,내가 명부를 슬쩍 봤던 기억에 따르면 데려와야할 영혼은 총 <color=#26EEFF>10명</color>이었으니...,,,,,
Text,앞으로 9명 남았군.,,,,,
Text,이제 일하러 가보자고!,,,,,
Flag,Saja_Corridor_2_Talk,,,,,
