CommandType,Param1,Param2,Param3,Param4
Bg,F3_C,,,
Char,Saja,,,
Speaker,사자,,,
Text,이제 3명인가...,,,
Choice,당신의 한에 대하여,han,,
Label,han,,,
Text,"...응? 가, 갑자기 내 한?",,,
Char,Saja_What,,,
Text,"내, 내가 하, 하, 한 같은게 있을리가 없잖아.",,,
Speaker,,,,
Label,igi,,,
Text,증거를 제시해보자.,,,
Choice,나의 감,f,영파탐지기,t
Label,f,,,
Speaker,사자,,,
Char,Saja,,,
Text,단순히 감이라고? 나 참...,,,
Text,"...뭐, 틀린 말이 아니긴 하지.",,,
Jump,e,,,
Label,t,,,
Speaker,사자,,,
Char,Saja_What,,,
Text,영파탐지기에... 내 파동도 나온다고?,,,
Text,"으, 음... 그렇군.",,,
Label,e,,,
Char,Saja,,,
Text,......,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_What,,,
Text,"뭐, 뭐야! 그렇게 바라봐도 안 알려줄거야!",,,
Char,Saja,,,
Text,......,,,
Char,Saja_What,,,
Text,나... 나중에 알려줄 수도 있고...,,,
Text,......,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_Angry,,,
Text,일단 지금은 아니니깐!,,,
Text,빨리 일하러 가자고.,,,
Flag,Saja_Corridor_3_Talk,,,
