CommandType,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8
Bg,F4_C,,,,,,,
Bgm,Comfort,,,,,,,
Char,Saja,,,,,,,
Speaker,사자,,,,,,,
Text,......,,,,,,,
Speaker,,,,,,,,
Text,저승사자는 진지한 얼굴로 무언가를 생각하고 있는 것 같다...,,,,,,,
Choice,무슨 일이라도?,why,자신의 무능함을 곱씹고 있나?,haha,,,,
Label,why,,,,,,,
Speaker,사자,,,,,,,
Text,"아, 너냐...",,,,,,,
Text,......,,,,,,,
Jump,serious,,,,,,,
Label,haha,,,,,,,
Speaker,사자,,,,,,,
Text,"이, 이 녀석이...!",,,,,,,
Text,그런 거 아니거든! 그냥...,,,,,,,
Label,serious,,,,,,,
StopBgm,,,,,,,,
Text,"아까 영혼이 보육원 이야기를 하길래, 살아있을 적 일이 생각나서.",,,,,,,
Choice,어떤 일?,what,이전에 말했던 '한'과 관련있는 일?,what2,갑자기 분위기 싸늘...,haha2,,
Label,what,,,,,,,
Text,아까 전에 나한테도 한이 있냐고 물어봤잖아? 그것과 관련된 거.,,,,,,,
Jump,past,,,,,,,
Label,what2,,,,,,,
Text,"오... 감이 좋구나, 너.",,,,,,,
Text,"그래, 그것과 관련된 일이야.",,,,,,,
Jump,past,,,,,,,
label,haha2,,,,,,,
Speaker,,,,,,,,
Text,저승사자가 싸늘한 눈으로 바라본다...,,,,,,,
Speaker,사자,,,,,,,
Text,"흠, 흠. 어쨌거나...",,,,,,,
Jump,what,,,,,,,
Label,past,,,,,,,
Bg,,,,,,,,
Bgm,Memory,,,,,,,
HideChar,,,,,,,,
Text,나도 보육원에서 살았거든... 여동생과 같이.,,,,,,,
Text,모든 것이 만족스럽진 않아도... 평범하게 좋은 시간이었어.,,,,,,,
Text,"그런데 어느날, 보육원에 불이 난 거야.",,,,,,,
Text,하필 선생님들이 잠깐 자리를 비운 사이라서...,,,,,,,
Text,불이 크게 번지기 전까지 아무도 뭔가 조치를 취할 수 없었어.,,,,,,,
Text,"동생과 같이 도망치고 있는데, 문득 위를 보니 대들보가 떨어지고 있어서, 나는...",,,,,,,
Choice,그래서...?,then,동생을 구한건지,then,같이 죽게 된 건지,no,,
Label,no,,,,,,,
Text,응? 그건 아니고...,,,,,,,
Jump,then,,,,,,,
Label,then,,,,,,,
Text,도저히 둘다 피할 수 없을 것 같아서...,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Text,나는 동생을 밀었어.,,,,,,,
Text,다행히 동생은 구했지만...,,,,,,,
Text,나는 살아남지 못했지.,,,,,,,
Text,"저승사자가 날 데리러 올 땐, 내가 어떻게 죽었는지에 대해 아무것도 기억나지 않더라.",,,,,,,
Text,정신적 충격이 크면 그럴 수 있다던가...,,,,,,,
Text,"여하튼, 저승에서의 삶도 나쁘지 않았어.",,,,,,,
Text,"친한 사람들도 생기고, 저승사자가 되고 싶다고 열심히 공부도 하고 그러면서 잘 살고 있었는데...",,,,,,,
Text,어느 날 갑자기 모든 게 생각나더라고.,,,,,,,
Text,"내가 왜 죽었고, 마지막에 어떻게 죽었는지...",,,,,,,
Choice,......,then2,,,,,,
Label,then2,,,,,,,
Text,상담 받으면서 불에 대한 공포는 극복했지만...,,,,,,,
Text,아직도 생생히 기억나.,,,,,,,
Text,동생이 울면서 내게 손을 뻗던 모습이...,,,,,,,
Text,"그 모습을 생각하면, 나는 왠지 모르게 가슴이 답답해지더라고.",,,,,,,
Text,이게 '한'이라는 감정이겠지?,,,,,,,
Choice,어떤 것에 대한 한인지,then3,,,,,,
Label,then3,,,,,,,
Text,동생이 보고 싶긴 하지만…,,,,,,,
Text,이것이 가장 큰 한은 아닌 것 같긴 해.,,,,,,,
Text,그것보다는…,,,,,,,
Text,'내가 그때 했던 선택이 정말 옳았을까?',,,,,,,
Text,...라는 의문에 답을 내리는 것이라고 할까.,,,,,,,
Text,…...,,,,,,,
Text,너는 어떻게 생각해?,,,,,,,
Text,내가 희생해서 동생을 살리는 게 맞았을까?,,,,,,,
Text,"아니면, 설령 같이 죽더라도... 동생과 같이 저승에 가는게 맞았을까?",,,,,,,
Text,…...,,,,,,,
Text,…아니다. 답은 내가 찾아야겠지…...,,,,,,,
Bgm,Comfort,,,,,,,
Bg,F4_C,,,,,,,
Char,Saja,,,,,,,
Text,"후, 이제 다시 일하러 가볼까.",,,,,,,
Choice,응원의 말을 건넨다.,fighting,위로의 말을 건넨다.,fighting,꼭 안아준다.,hug,,
Label,fighting,,,,,,,
Text,"그, 그래. 고맙다...",,,,,,,
Text,그런 말은 여러번 들어봤지만 익숙하지 않네.,,,,,,,
Text,"그럼, 일도 다시 열심히 해보자고.",,,,,,,
Flag,Saja_Corridor_4_Talk,,,,,,,
End,,,,,,,,
Label,hug,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Text,"뭐, 뭐하는 거야?!",,,,,,,
Speaker,,,,,,,,
Text,"저승사자는 기겁을 하지만, 곧 가만히 포옹을 받아들였다.",,,,,,,
Text,심장 소리는 들리지 않는다...,,,,,,,
Speaker,사자,,,,,,,
Text,깜짝이야... 다음부턴 말을 하고…,,,,,,,
Text,"아, 아니, 그렇다고 또 이렇게 해도 된다는 건 아니고!!",,,,,,,
Text,"어, 어쨌거나 다시 일이나 하자고!",,,,,,,
Flag,Saja_Corridor_4_Talk,,,,,,,
