CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
StopBgm,,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,이제... <color=#26EEFF>10명</color>의 영혼을 다 모았으니 일도 다 끝났군.,,,,,
Text,"그럼, 이제 가볼까.",,,,,
Bgm,Truth,,,,,
Speaker,,,,,,
Text,......,,,,,
Text,이대로 가면 안될 것 같은 느낌이 든다...,,,,,
Label,igi,,,,,
Choice,10명의 영혼?,ask,이의 있음!,igiari,아무튼 이의를 제기한다.,igiari
Label,ask,,,,,
Speaker,사자,,,,,
Text,"그래, 사람 9명, 강아지 하나.",,,,,
Text,그건 왜?,,,,,
Jump,igi,,,,,
Label,igiari,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Speaker,,,,,,
Text,이의를 제기했다!,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,아직 가면 안된다고?,,,,,
Text,10명의 영혼은 다 데려왔는데... 뭔가 남은 일이 있나?,,,,,
Label,question1,,,,,
Speaker,,,,,,
Text,남은 일이 있다는 증거를 제시하자.,,,,,
ChoiceWithClue,401호 일기,wrong1,사건 자료,right1,302호 집주인 공지,wrong1
Label,wrong1,,,,,
Speaker,사자,,,,,
Text,뭐가 문제인지 모르겠는데...,,,,,
Jump,question1,,,,,
Label,right1,,,,,
Speaker,사자,,,,,
Text,"'사망한 인원은 <color=#26EEFF>10명</color>으로 추정된다'. 맞는 내용인데, 왜...",,,,,
Text,......,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Saja_Angry,,,,,
Text,...아앗!,,,,,
Char,Saja,,,,,
Text,그렇군. 우리가 데려온 <color=#26EEFF>사람 영혼</color>은 9명...!,,,,,
Text,그렇지만 내가 기억하기론 명부에도 사람 영혼은 9명 뿐이었는데...,,,,,
Choice,생존자의 가능성,remain,,,,
Label,remain,,,,,
Char,Saja_Sad,,,,,
Text,생존자... 대체 어디에?,,,,,
Char,Saja_Angry,,,,,
Text,"1층부터 4층까지 모두 가봤지만, 살아있는 사람은 보이지 않았잖아.",,,,,
Label,question2,,,,,
ChoiceWithClue,입구,wrong2,4층,wrong2,옥탑,right2
Label,wrong2,,,,,
Text,뭐? 대체 그곳 어디에?,,,,,
Jump,question2,,,,,
Label,right2,,,,,
Char,Saja,,,,,
Text,옥탑에 사는 사람이 있다고? 대체 누가...,,,,,
Label,question3,,,,,
ChoiceWithClue,이아린,wrong3,김아린,right3,박하윤,wrong3
Label,wrong3,,,,,
Text,그게 누군데?,,,,,
Jump,question3,,,,,
Label,right3,,,,,
StopBgm,,,,,,
Char,Saja_Sad,,,,,
Text,......!,,,,,
Text,"뭐? 김아린이라면, <size=15>...설마, 아린이...?</size>",,,,,
Char,Saja_Angry,,,,,
Text,"빠, 빨리 옥탑방에 가보자!",,,,,
Bgm,Last,,,,,
Sfx,Footstep,,,,,
Bg,,,,,,
Wait,1,,,,,
HideChar,,,,,,
Speaker,,,,,,
Text,"옥탑방에서 의식을 잃은 여성을 발견했고, 빠르게 119에 신고했다.",,,,,
Speaker,사자,,,,,
Char,Saja_Sad,,,,,
Text,"아린... <size=15>...아, 이러면 안 되겠지...</size>",,,,,
Speaker,,,,,,
Text,"저승사자는 입을 꾹 다물고, 방을 둘러보기 시작했다.",,,,,
Text,방은 평범한 젊은 여성의 것처럼 꾸며져 있었다.,,,,,
Text,"아기자기한 인형들, 친구들과 찍은 듯한 사진, 빼곡히 채워진 공부 노트...",,,,,
Text,......,,,,,
Speaker,사자,,,,,
Char,Saja,,,,,
Text,나랑 관련된 물건은... 보이지 않네.,,,,,
HideChar,,,,,,
Text,......,,,,,
Text,하하...,,,,,
Sfx,Sit,,,,,
Text,하하... 하하하!,,,,,
Speaker,,,,,,
Text,저승사자는 바닥에 털썩 주저앉더니...,,,,,
Text,후련한 듯 웃기 시작했다.,,,,,
Speaker,사자,,,,,
Text,......,,,,,
Text,계속 고민해왔어. 그때 아린이와 같이 죽는 것이 더 나았을지...,,,,,
Text,"그렇지만, 아아... 다행이야.",,,,,
Text,"아린이가 나처럼 과거에 묶여있는게 아니라, 앞으로 잘 나아가고 있어서...",,,,,
Text,이제...,,,,,
Text,오랜 세월 동안 묶여있던 감정에서 풀려난 기분이야.,,,,,
Bg,,,,,,
Text,......,,,,,
StopBgm,,,,,,
Wait,1,,,,,
Bgm,Comfort,,,,,
Char,Saja,,,,,
Text,"그나저나, 이제 진짜 끝이군.",,,,,
Text,헤어질 시간이다.,,,,,
Choice,......,bye,헤어지기 싫다.,bye,언제 또 볼 수 있나?,bye
Label,bye,,,,,
Char,Saja_Sad,,,,,
Text,"뭐, 지금은 헤어지긴 해도... 언젠가 다시 만날 수도 있겠지.",,,,,
Char,Saja,,,,,
Text,"내가 저승에, 네가 저승협력부에 계속 있는 한은 말이야.",,,,,
Char,Saja_Angry,,,,,
Text,두고 보라고!,,,,,
Text,다음 사건에서는...,,,,,
Char,Saja,,,,,
Text,좀 더 선배같은 모습을 보일테니까 말이야.,,,,,
Credit,,,,,,
