CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F2_R2,,,,,
If,F2_LostPendent,p_have,p_not,,,
Label,p_not,,,,,
Speaker,,,,,,
Text,"The soul hears that they're dead, and calmly nods.",,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,So... what is your han?,,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol,,,,,
Text,It might seem trivial to call it han but...,,,,,
Text,Could you return this <color=#26EEFF>keyring</color> to its owner?,,,,,
Text,If I returned it myself they might be startled.,,,,,
Choice,I'll take it.,ok,,,,
Label,ok,,,,,
Flag,F2_LostPendent,,,,,
Text,Thank you. It's been weighing on my mind.,,,,,
End,,,,,,
Label,p_have,,,,,
If,S06_SYN,cleared,clear_not,,,
Label,clear_not,,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol,,,,,
Text,You haven't found the keyring's owner yet?,,,,,
Text,I think... it belongs to <color=#26EEFF>someone in Room 201</color>.,,,,,
End,,,,,,
Label,cleared,,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol,,,,,
Text,You're back. Oh...,,,,,
Speaker,Yuna,,,,,
Char,Yuna_Angry,,,,,
Text,"Hello!! I heard you gave my keyring, right?!",,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol,,,,,
Text,So it was yours after all Yuna. I'm glad I could return it.,,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Text,"Hehe, thank you...",,,,,
Text,By the way I'm surprised you figured out it was mine! It's so small it's hard to notice.,,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol,,,,,
Text,"Now that I'm saying this, actually... I've had my eye on you for a while.",,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Text,Gasp! You mean you had feelings for me...,,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol,,,,,
Text,What? Oh! That's not it.,,,,,
Speaker,Yuna,,,,,
Char,Yuna_Angry,,,,,
Text,...Oh.,,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol,,,,,
Text,"You look about the same age as my sister, and I couldn't help worrying.",,,,,
Text,"You often looked tired, and you said you lived alone...",,,,,
Speaker,Yuna,,,,,
Text,"Haha... work was hard, but I could manage.",,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol_Huhu,,,,,
Text,...My sister said the same thing until the end.,,,,,
Text,Until she took her own life...,,,,,
Speaker,Yuna,,,,,
Char,Yuna_Sad,,,,,
Text,Oh......,,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol_Smile,,,,,
Text,...I made things too heavy.,,,,,
Text,That's why I kept watching you but...,,,,,
Text,You might have felt like you were being used as a substitute. I'm really sorry.,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Speaker,Yuna,,,,,
Char,Yuna_Sad,,,,,
Text,"N-no! It's really okay!",,,,,
Text,"Somehow, I feel bad because my feelings for you are lighter...",,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol,,,,,
Text,What?,,,,,
Speaker,Yuna,,,,,
Char,Yuna,,,,,
Char,Yuna_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,"N-nothing!",,,,,
Char,Yuna,,,,,
Text,"...Um, if you don't mind, would you like to go to the afterlife together?",,,,,
Char,Yuna_Smile,,,,,
Text,I'd like to hear more of your story.,,,,,
Speaker,Hangyeol,,,,,
Char,Hangyeol_Smile,,,,,
Text,"I'm not good with words, but if you don't mind... gladly.",,,,,
Speaker,,,,,,
Sfx,Complete,,,,,
Text,"Both souls' han have been resolved, and they now follow along.",,,,,
Clear,S05_JHG,,,,,
