CommandType,Param1,Param2,Param3,Param4
Bg,E,,,
Char,Saja,,,
Speaker,Saja,,,
Text,So you're the new human rookie from the <color=#ffff40>Afterlife Cooperation Department</color>?,,,
Text,Do you know what you're supposed to do?,,,
Choice,I know,c1_1,I don't know,c1_2
Label,c1_1,,,
Text,What do you know? You're just a rookie!,,,
Jump,c1_end,,,
Label,c1_2,,,
Text,What? You're so brazen it's absurd...,,,
Label,c1_end,,,
Text,"This place is full of souls who have forgotten themselves due to sudden death.",,,
Text,"We need to call out their names so I can guide them to the afterlife.",,,
Text,"Well, don't worry. You're just here to support and learn.",,,
Text,With this register of names it shouldn't be too hard......,,,
Speaker,,,,
Bgm,Saja,,,
Text,"Saja rummages through his clothes, keeps rummaging, and his already blue scythe turns even bluer.",,,
Choice,Did you perhaps forget to bring it?,c2_1,Wow... and you call yourself a senior?,c2_2
Label,c2_1,,,
Speaker,Saja,,,
Text,I... I didn't forget it! I just left it behind!,,,
Jump,c2_end,,,
Label,c2_2,,,
Speaker,Saja,,,
Text,"Wh-wha-what did you say?! Y-you little...",,,
Label,c2_end,,,
Text,"Th-this is bad. I don't have time to go back to the afterlife...",,,
Text,"Alright, you! You'll have to help me find the names of these souls.",,,
Choice,What? Me?,c3_1,Why should I do your job...,c3_2
Label,c3_1,,,
Text,"Well, isn't this great? Normally you'd have to work a few more years before doing this kind of work.",,,
Jump,c3_end,,,
Label,c3_2,,,
Text,"Ugh... A-anyway!",,,
Label,c3_end,,,
Text,Let's head inside first! I'll tell you what to do.,,,
Flag,Saja_Meet,,,
