CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Bgm,Saja,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,Is there something you're curious about?,,,,,
Label,cho,,,,,
Choice,About what I need to do,work,About Korean name culture,name,Nothing.,no
Label,no,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Saja_Angry,,,,,
Text,Then hurry up and get started!,,,,,
End,,,,,,
Label,work,,,,,
Text,"First, investigate the scene and deduce the <color=#26EEFF>soul's name</color>.",,,,,
Text,"Next, the <color=#26EEFF>S. W. Detector</color> will display the names of all souls with <color=#26EEFF>han</color> on that floor.",,,,,
Text,"If you match a specific wave's amplitude and frequency on the detector, you can hear that soul's <color=#26EEFF>inner thoughts</color>.",,,,,
Text,"Then, you must call out the <color=#26EEFF>soul's name</color> that corresponds to the detector's wave to help that soul regain their sense of self.",,,,,
Text,"You must be in the <color=#26EEFF>same room</color> as that soul, so keep that in mind!",,,,,
Text,"And if you use the <color=#26EEFF>Soul Visor</color>, you'll be able to see the souls.",,,,,
Text,The visor is uncomfortable for investigating scenes but... anyway.,,,,,
Text,Anything else you're curious about?,,,,,
Jump,cho,,,,,
Label,name,,,,,
Text,Hm? Did you live abroad?,,,,,
Text,"In Korea, the <color=#26EEFF>family name comes first, given name comes after</color>, inherited from one of the parents.",,,,,
Text,And <color=#26EEFF>siblings share the same family name</color>.,,,,,
Text,"Also, even when married, one doesn't change their family name.",,,,,
Text,Anything else you're curious about?,,,,,
Jump,cho,,,,,
