CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F2_C,,,,,
Char,Saja,,,,,
Speaker,Saja,,,,,
Text,"Ugh, more work to do.",,,,,
Choice,What kind of work?,question,Taking care of a clumsy Saja?,haha,,
Label,haha,,,,,
Text,"Wh-wha-what, are you talking to me?",,,,,
Text,I... I'm not clumsy!,,,,,
Text,"A-anyway...",,,,,
Label,question,,,,,
Text,"Some of the deceased carry 'Han', and we need to resolve their 'Han'.",,,,,
Choice,Resolve their 'Han'?,han,,,,
Label,han,,,,,
Text,"Yes, 'Han'.",,,,,
Text,"Sorrow and resentment, somewhat resigned yet unable to completely let go...",,,,,
Text,...that kind of feeling.,,,,,
Text,"If we don't resolve their Han, they won't leave this place willingly.",,,,,
Text,They might become earthbound spirits and harm the living.,,,,,
Text,"That's why humans like you from the living world are assigned as partners to us Saja.",,,,,
Text,After all it's easier for the living to understand the hearts of the recently deceased.,,,,,
Choice,I should work hard then.,yes,What exactly do you do senior?,haha2,,
Label,yes,,,,,
Text,"Yes, let's do our best together.",,,,,
Flag,Saja_Corridor_2_Talk,,,,,
End,,,,,,
Label,haha2,,,,,
Text,"Ugh... I-I do things when I need to!",,,,,
Text,Hurry up and get to work!,,,,,
Flag,Saja_Corridor_2_Talk,,,,,
