CommandType,Param1,Param2,Param3,Param4
Bgm,Saja,,,
Bg,F3_C,,,
Char,Saja,,,
Speaker,Saja,,,
Text,Only 3 more now...,,,
Choice,About your han,han,,
Label,han,,,
Text,"...Hm? M-my han, all of a sudden?",,,
Char,Saja_What,,,
Text,"Th-there's n-n-no way I have something like han.",,,
Speaker,,,,
Label,igi,,,
Text,Let's present the evidence.,,,
Choice,My intuition,f,S. W. Detector,t
Label,f,,,
Speaker,Saja,,,
Char,Saja,,,
Text,Just your intuition? Come on...,,,
Text,"...Well, you're not wrong though.",,,
Jump,e,,,
Label,t,,,
Speaker,Saja,,,
Char,Saja_What,,,
Text,My wave... shows up on the S. W. Detector too?,,,
Text,"Uh, um... I see.",,,
Label,e,,,
Char,Saja,,,
Text,......,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_What,,,
Text,"Wh-what! I won't tell you even if you stare at me like that!",,,
Char,Saja,,,
Text,......,,,
Char,Saja_What,,,
Text,I... might tell you later...,,,
Text,......,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_Angry,,,
Text,Just not now!,,,
Text,Let's hurry and get back to work.,,,
Flag,Saja_Corridor_3_Talk,,,
