CommandType,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8
Bg,F4_C,,,,,,,
Bgm,Comfort,,,,,,,
Char,Saja,,,,,,,
Speaker,Saja,,,,,,,
Text,......,,,,,,,
Speaker,,,,,,,,
Text,Saja seems to be thinking about something with a serious expression...,,,,,,,
Choice,Is something wrong?,why,Reflecting on your own incompetence?,haha,,,,
Label,why,,,,,,,
Speaker,Saja,,,,,,,
Text,"Oh, it's you...",,,,,,,
Text,......,,,,,,,
Jump,serious,,,,,,,
Label,haha,,,,,,,
Speaker,Saja,,,,,,,
Char,Saja_Angry2,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Text,Y-you little...!,,,,,,,
Text,That's not it! It's just...,,,,,,,
Label,serious,,,,,,,
StopBgm,,,,,,,,
Char,Saja,,,,,,,
Text,"When that soul mentioned the orphanage earlier, it reminded me of something from when I was alive.",,,,,,,
Choice,What happened?,what,Related to the 'han' you mentioned before?,what2,Suddenly the mood got cold...,haha2,,
Label,what,,,,,,,
Text,"You asked me earlier if I had han too, right? It's related to that.",,,,,,,
Jump,past,,,,,,,
Label,what2,,,,,,,
Char,Saja_What,,,,,,,
Text,Oh... you have good intuition.,,,,,,,
Char,Saja,,,,,,,
Text,"Yeah, it's related to that.",,,,,,,
Jump,past,,,,,,,
Label,haha2,,,,,,,
Speaker,,,,,,,,
Char,Saja,,,,,,,
Text,Saja stares with cold eyes...,,,,,,,
Speaker,Saja,,,,,,,
Text,"Ahem, ahem. Anyway...",,,,,,,
Jump,what,,,,,,,
Label,past,,,,,,,
Bg,,,,,,,,
Bgm,Memory,,,,,,,
HideChar,,,,,,,,
Text,I lived in an orphanage too... together with my younger sister.,,,,,,,
Text,Even if everything wasn't perfect... it was an ordinary good time.,,,,,,,
Text,"But one day, there was a fire at the orphanage.",,,,,,,
Text,It happened just when the caretakers had briefly stepped away...,,,,,,,
Text,Nobody could do anything until the fire had spread significantly.,,,,,,,
Text,"While running away with my sister, I happened to look up and saw a beam falling, so I...",,,,,,,
Choice,And then...?,then,Did you save your sister?,then,Did you both die?,no,,
Label,no,,,,,,,
Text,Hm? That's not it...,,,,,,,
Jump,then,,,,,,,
Label,then,,,,,,,
Text,It seemed impossible for both of us to dodge it...,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Text,So I pushed my sister away.,,,,,,,
Text,Fortunately I saved my sister but...,,,,,,,
Text,I didn't survive.,,,,,,,
Text,"When the Saja came for me, I couldn't remember anything about how I died.",,,,,,,
Text,They said it can happen when the mental shock is severe...,,,,,,,
Text,"Anyway, life in the afterlife wasn't bad either.",,,,,,,
Text,"I made close friends, studied hard to become a Saja, and was living well...",,,,,,,
Text,Then one day I suddenly remembered <color=#26EEFF>everything</color>.,,,,,,,
Text,"Why I died, and how I died at the end...",,,,,,,
Choice,......,then2,,,,,,
Label,then2,,,,,,,
Text,I overcame my fear of fire through counseling but...,,,,,,,
Text,I still remember it vividly.,,,,,,,
Text,My sister crying and reaching out to me...,,,,,,,
Text,"When I think of that moment, my heart feels heavy for some reason.",,,,,,,
Text,This must be the emotion called <color=#26EEFF>'han'</color>.,,,,,,,
Choice,What is your han about?,then3,,,,,,
Label,then3,,,,,,,
Text,I do miss my sister but...,,,,,,,
Text,I don't think that's my biggest han.,,,,,,,
Text,Rather than that...,,,,,,,
Text,'Was the <color=#26EEFF>choice</color> I made back then really the right one?',,,,,,,
Text,...I suppose it's about finding an answer to that question.,,,,,,,
Text,......,,,,,,,
Text,What do you think?,,,,,,,
Text,Was it right for me to sacrifice myself to save my sister?,,,,,,,
Text,Or even if we both died... should I have gone to the afterlife together with my sister?,,,,,,,
Text,......,,,,,,,
Text,...No. I should find the answer myself...,,,,,,,
Bgm,Comfort,,,,,,,
Bg,F4_C,,,,,,,
Char,Saja,,,,,,,
Text,"Phew, shall we get back to work now.",,,,,,,
Choice,Say words of encouragement.,fighting,Say words of comfort.,fighting,Give a hug.,hug,,
Label,fighting,,,,,,,
Char,Saja_Sad,,,,,,,
Text,Y-yeah. Thanks...,,,,,,,
Text,I've heard things like that many times but... I never get used to it.,,,,,,,
Char,Saja,,,,,,,
Text,Well then... let's do our best again.,,,,,,,
Flag,Saja_Corridor_4_Talk,,,,,,,
End,,,,,,,,
Label,hug,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Char,Saja_What,,,,,,,
Text,Wh-what are you doing?!,,,,,,,
Speaker,,,,,,,,
Text,"Saja is startled, but soon quietly accepts the hug.",,,,,,,
Text,There's no heartbeat...,,,,,,,
Speaker,Saja,,,,,,,
Text,You scared me... next time say something first...,,,,,,,
Char,Saja_Angry2,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Text,"N-no, that doesn't mean you can do this again!!",,,,,,,
Char,Saja_Sad,,,,,,,
Text,......,,,,,,,
Text,"A-anyway, let's get back to work!",,,,,,,
Flag,Saja_Corridor_4_Talk,,,,,,,
