CommandType,Param1,Param2,Param3,Param4
Bg,E,,,
Bgm,Saja_Fake,,,
Char,Saja,,,
Speaker,Saja,,,
Text,Are you the new human recruit from the <color=#26EEFF>Afterlife Cooperation Department</color>?,,,
Text,Do you know what you need to do?,,,
Choice,Yes,c1_1,No,c1_2
Label,c1_1,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_Angry,,,
Text,What do you know? You're just a rookie!,,,
Jump,c1_end,,,
Label,c1_2,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_Angry,,,
Text,What? The confidence is almost impressive...,,,
Label,c1_end,,,
Char,Saja,,,
Text,"The deceased here have <color=#26EEFF>'han'</color>, and we need to resolve that 'han' for them.",,,
Choice,Resolve 'han'?,han,,
Label,han,,,
Text,"Yes, <color=#26EEFF>'han'</color>.",,,
Text,"Sorrow and resentment, somewhat resigned yet unable to completely let go...",,,
Text,...that kind of emotion.,,,
Text,"If we don't resolve their han, they won't leave here willingly.",,,
Text,Then they could become vengeful spirits and harm people.,,,
Text,"For cases like this, someone like you from the living world is assigned as a partner to us Saja.",,,
Text,Since it's easier for the living to understand the hearts of the recently deceased.,,,
Choice,Sounds difficult...,ok,I'll give it a shot.,ok
Label,ok,,,
Text,"Well, don't worry. You're just here to support and learn.",,,
Text,With this ledger it shouldn't be too difficult......,,,
Speaker,,,,
Bgm,Saja,,,
Char,Saja_What,,,
Text,"Saja rummages through their clothes, keeps rummaging, and their already pale face turns even paler.",,,
Choice,Did you forget to bring it?,c2_1,Wow... some senior you are.,c2_2
Label,c2_1,,,
Speaker,Saja,,,
Char,Saja_Angry2,,,
Shake,,,,
Sfx,Shake,,,
Text,I didn't forget... I just left it behind!,,,
Jump,c2_end,,,
Label,c2_2,,,
Speaker,Saja,,,
Char,Saja_Angry2,,,
Shake,,,,
Sfx,Shake,,,
Text,"Wh-wha-wh-what?! You little...",,,
Label,c2_end,,,
Char,Saja_What,,,
Text,"Th-this is bad. <size=15>If I say I forgot it I'll get scolded...</size> I mean!",,,
Text,"N-no time to go back to the afterlife... H-hmm.",,,
Char,Saja,,,
Shake,,,,
Sfx,Shake,,,
Text,"Right, you! You'll help me find the souls' names too.",,,
Choice,Me?,c3_1,Why make your problem mine...,c3_2
Label,c3_1,,,
Text,"Well, it works out, right? This is normally something you'd only get to do after a few more years. <size=15>I hope saying this will work...</size>",,,
Jump,c3_end,,,
Label,c3_2,,,
Char,Saja_What,,,
Text,"Ugh... Anyway!",,,
Label,c3_end,,,
Text,Let's go inside first! I'll tell you what to do.,,,
Flag,Saja_Meet,,,
