CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
StopBgm,,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,"Now that... we've gathered all <color=#26EEFF>10</color> souls, the work is done.",,,,,
Text,"Then, shall we go.",,,,,
Bgm,Truth,,,,,
Speaker,,,,,,
Text,......,,,,,
Text,Something feels off about leaving like this...,,,,,
Label,igi,,,,,
Choice,10 souls?,ask,Objection!,igiari,I object anyway.,igiari
Label,ask,,,,,
Speaker,Saja,,,,,
Text,"Yes, 9 people, one puppy.",,,,,
Text,Why do you ask?,,,,,
Jump,igi,,,,,
Label,igiari,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Speaker,,,,,,
Text,You raised an objection!,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,You're saying we shouldn't leave yet?,,,,,
Text,We've brought all 10 souls... is there something left to do?,,,,,
Label,question1,,,,,
Speaker,,,,,,
Text,Let's present evidence that there's something left.,,,,,
ChoiceWithClue,Room 401 Diary,wrong1,Incident Report,right1,Room 302 Landlord Notice,wrong1
Label,wrong1,,,,,
Speaker,Saja,,,,,
Text,I don't see what the problem is...,,,,,
Jump,question1,,,,,
Label,right1,,,,,
Speaker,Saja,,,,,
Text,"'The number of deceased is estimated to be <color=#26EEFF>10</color>.' That's correct, so why...",,,,,
Text,......,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Saja_Angry,,,,,
Text,...Ah!,,,,,
Char,Saja,,,,,
Text,"Right. The number of <color=#26EEFF>human souls</color> we brought is 9...!",,,,,
Text,"But from what I remember, the ledger only had 9 human souls too...",,,,,
Choice,Possibility of a survivor,remain,,,,
Label,remain,,,,,
Char,Saja_Sad,,,,,
Text,A survivor... where could they be?,,,,,
Char,Saja_Angry,,,,,
Text,"We went through all floors from 1st to 4th, but didn't see anyone alive.",,,,,
Label,question2,,,,,
ChoiceWithClue,Entrance,wrong2,4th Floor,wrong2,Rooftop,right2
Label,wrong2,,,,,
Text,What? Where exactly?,,,,,
Jump,question2,,,,,
Label,right2,,,,,
Char,Saja,,,,,
Text,Someone lives on the rooftop? Who...,,,,,
Label,question3,,,,,
ChoiceWithClue,Lee Arin,wrong3,Kim Arin,right3,Park Hayun,wrong3
Label,wrong3,,,,,
Text,Who's that?,,,,,
Jump,question3,,,,,
Label,right3,,,,,
StopBgm,,,,,,
Char,Saja_Sad,,,,,
Text,......!,,,,,
Text,"What? If it's Kim Arin, <size=15>...could it be, Arin...?</size>",,,,,
Char,Saja_Angry,,,,,
Text,"Q-quick, let's go to the rooftop room!",,,,,
Bgm,Last,,,,,
Sfx,Footstep,,,,,
Bg,,,,,,
Wait,1,,,,,
HideChar,,,,,,
Speaker,,,,,,
Text,"An unconscious woman was found in the rooftop room, and 119 was quickly called.",,,,,
Speaker,Saja,,,,,
Char,Saja_Sad,,,,,
Text,"Arin... <size=15>...no, I shouldn't do this...</size>",,,,,
Speaker,,,,,,
Text,"Saja clamped their mouth shut and began looking around the room.",,,,,
Text,The room was decorated like that of an ordinary young woman.,,,,,
Text,"Cute dolls, photos that seemed to be with friends, study notes filled to the brim...",,,,,
Text,......,,,,,
Speaker,Saja,,,,,
Char,Saja,,,,,
Text,I don't see... anything related to me.,,,,,
HideChar,,,,,,
Text,......,,,,,
Text,Haha...,,,,,
Sfx,Sit,,,,,
Text,Haha... hahaha!,,,,,
Speaker,,,,,,
Text,Saja slumped down on the floor...,,,,,
Text,And began to laugh as if relieved.,,,,,
Speaker,Saja,,,,,
Text,......,,,,,
Text,I've been thinking about it constantly. Whether it would have been better to die together with Arin back then...,,,,,
Text,"But, ah... I'm so relieved.",,,,,
Text,"That Arin isn't stuck in the past like me, but moving forward with her life...",,,,,
Text,Now...,,,,,
Text,I feel like I've been freed from emotions that bound me for so long.,,,,,
Bg,,,,,,
Text,......,,,,,
StopBgm,,,,,,
Wait,1,,,,,
Bgm,Comfort,,,,,
Char,Saja,,,,,
Text,"By the way, it's really over now.",,,,,
Text,Time to say goodbye.,,,,,
Choice,......,bye,I don't want to part ways.,bye,When can we meet again?,bye
Label,bye,,,,,
Char,Saja_Sad,,,,,
Text,"Well, even though we're parting now... we might meet again someday.",,,,,
Char,Saja,,,,,
Text,"As long as I stay in the afterlife, and you stay in the Afterlife Cooperation Department.",,,,,
Char,Saja_Angry,,,,,
Text,Just you wait!,,,,,
Text,On the next case...,,,,,
Char,Saja,,,,,
Text,I'll show you a more senior-like side.,,,,,
Credit,,,,,,
