CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F3_R3,,,,,
If,F3_SunjaTalk,talk,first,,,
Label,first,,,,,
Speaker,,,,,,
Text,魂は状況を聞いたが、首をかしげる。,,,,,
Speaker,スンジャ,,,,,
Char,Sunja,,,,,
Text,私のハン?分からんのう...,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,何か思い出すことはありませんか?,,,,,
Speaker,スンジャ,,,,,
Char,Sunja,,,,,
Text,何かが思い出せないんじゃが...それが何かよく思い出せんのじゃよ。,,,,,
Text,それが思い出せないのがハンのような気もするしのう。,,,,,
Flag,F3_SunjaTalk,,,,,
Label,talk,,,,,
Speaker,,,,,,
Text,魂が記憶を取り戻すのを助けよう。,,,,,
Speaker,スンジャ,,,,,
Char,Sunja,,,,,
Text,この前に花屋に行ったんじゃが...どんな名前の花屋だったかのう?,,,,,
ChoiceWithClue,愛の花屋,right_1,喜びの花屋,wrong,希望の花屋,wrong
Label,right_1,,,,,
Text,そうそう、その花屋に行ったんじゃが...記憶がおぼろげでのう。,,,,,
Text,花屋の前にいたら二軒隣に住んでるお嬢ちゃんに会ったんじゃが...名前が何だったかのう?,,,,,
ChoiceWithClue,パク・ジュンソ,wrong,ソ・ユナ,wrong,チェ・スア,right_2
Label,right_2,,,,,
Text,ああ、そうじゃそうじゃ。それでそのお嬢ちゃんが送ってくれて家に帰る途中、隣の人たちにも会ったんじゃ。,,,,,
Text,その人たちの名前が...,,,,,
ChoiceWithClue,キム・ヒジェ、チェ・ハユン,wrong,キム・ヒジェ、パク・ハユン,right_3,パク・ジュンソ、パク・ハユン,wrong
Label,right_3,,,,,
Text,そうじゃ...もう全部思い出したわい。,,,,,
Char,Sunja_Awake,,,,,
Text,そしてうちの息子に会ったんじゃ。,,,,,
Text,......,,,,,
Text,うちの息子と話してもええかのう?,,,,,
Speaker,,,,,,
Text,魂が一行に合流した。,,,,,
Clear,S04_LSJ,,,,,
End,,,,,,
Label,wrong,,,,,
Text,違うような気がするんじゃが...,,,,,
Speaker,,,,,,
Text,...手がかりをよく調べてからまた話してみよう。,,,,,
