CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
Bgm,Saja,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,聞きたいことがあるか?,,,,,
Label,cho,,,,,
Choice,やるべきことについて,work,韓国の名前文化について,name,ない。,no
Label,no,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Saja_Angry,,,,,
Text,じゃあ早く始めろよ、何してんだ!,,,,,
End,,,,,,
Label,work,,,,,
Text,まず、現場を調査して<color=#26EEFF>魂の名前</color>を推理する。,,,,,
Text,次に、<color=#26EEFF>霊波探知器</color>にはその階にいる<color=#26EEFF>怨み</color>を持つすべての魂たちの名前が表示される。,,,,,
Text,探知器で特定の波動の振幅と周波数を合わせれば、その波動に対応する魂の<color=#26EEFF>独り言</color>を聞くことができる。,,,,,
Text,そして探知器の波動に対応する<color=#26EEFF>魂の名前</color>を呼ばなければ、その魂の自我を取り戻させることができる。,,,,,
Text,この時、その魂と<color=#26EEFF>同じ空間</color>にいなければならないから、覚えておけ!,,,,,
Text,そして<color=#26EEFF>魂探知器</color>を使えば魂たちを見ることができる。,,,,,
Text,探知器が不便で現場を調査するのは不便だろうが...まあいい。,,,,,
Text,他に聞きたいことはあるか?,,,,,
Jump,cho,,,,,
Label,name,,,,,
Text,ん?外国から来たのか?,,,,,
Text,韓国は両親のどちらかから受け継いだ<color=#26EEFF>姓が前、名前が後ろ</color>にくる。,,,,,
Text,そして<color=#26EEFF>兄弟は姓が同じ</color>だ。,,,,,
Text,そして結婚しても片方が姓を変えることはない。,,,,,
Text,他に聞きたいことはあるか?,,,,,
Jump,cho,,,,,
