CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bgm,Saja,,,,,
Bg,F2_C,,,,,
Char,Saja_What,,,,,
Speaker,使者,,,,,
Text,ふぅ...<color=#26EEFF>初めて</color>やるから緊張したけど、幸いうまくいったな。,,,,,
Choice,え?,pardon,使者様も新人?,newbie,冥府の使者じゃなくてホラ吹きだったんだ...,newbie
Label,pardon,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,あ...何でもない!,,,,,
Jump,anyway,,,,,
Label,newbie,,,,,
Text,う...ううっ...!,,,,,
Char,Saja_Angry,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,それでもお前よりは少し早く冥府の使者になったはずだ!,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Text,違ったら言うな!!!,,,,,
Label,anyway,,,,,
Char,Saja,,,,,
Text,とにかく...よくやったな。これからもこんな風にやっていけばいい!,,,,,
Text,俺が名簿をちらっと見た記憶では、連れてくるべき魂は合計<color=#26EEFF>10人</color>だったから...,,,,,
Text,あと9人残ってるな。,,,,,
Text,さあ、仕事に行こう!,,,,,
Flag,Saja_Corridor_2_Talk,,,,,
