CommandType,Param1,Param2,Param3,Param4
Bgm,Saja,,,
Bg,F3_C,,,
Char,Saja,,,
Speaker,使者,,,
Text,もう3人か...,,,
Choice,あなたのハンについて,han,,
Label,han,,,
Text,...ん?き、急に俺のハン?,,,
Char,Saja_What,,,
Text,お、俺が、ハ、ハ、ハンなんてあるわけないだろ。,,,
Speaker,,,,
Label,igi,,,
Text,証拠を提示してみよう。,,,
Choice,私の勘,f,霊波探知器,t
Label,f,,,
Speaker,使者,,,
Char,Saja,,,
Text,単なる勘だって?まったく...,,,
Text,...まあ、間違ってはいないけどな。,,,
Jump,e,,,
Label,t,,,
Speaker,使者,,,
Char,Saja_What,,,
Text,霊波探知器に...俺の波動も出てるって?,,,
Text,う、うん...そうか。,,,
Label,e,,,
Char,Saja,,,
Text,......,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_What,,,
Text,な、何だよ!そんなに見つめても教えないぞ!,,,
Char,Saja,,,
Text,......,,,
Char,Saja_What,,,
Text,お...俺だって後で教えるかもしれないし...,,,
Text,......,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_Angry,,,
Text,とにかく今じゃないから!,,,
Text,早く仕事しに行こう。,,,
Flag,Saja_Corridor_3_Talk,,,
