CommandType,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8
Bg,F4_C,,,,,,,
Bgm,Comfort,,,,,,,
Char,Saja,,,,,,,
Speaker,使者,,,,,,,
Text,......,,,,,,,
Speaker,,,,,,,,
Text,冥府の使者は真剣な顔で何かを考えているようだ...,,,,,,,
Choice,何かあったんですか?,why,自分の無能さを噛みしめてるんですか?,haha,,,,
Label,why,,,,,,,
Speaker,使者,,,,,,,
Text,"あ、君か...",,,,,,,
Text,......,,,,,,,
Jump,serious,,,,,,,
Label,haha,,,,,,,
Speaker,使者,,,,,,,
Char,Saja_Angry2,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Text,"こ、この野郎が...!",,,,,,,
Text,そんなんじゃないから! ただ...,,,,,,,
Label,serious,,,,,,,
StopBgm,,,,,,,,
Char,Saja,,,,,,,
Text,"さっき魂が保育院の話をしてたから、生きていた頃のことを思い出してな。",,,,,,,
Choice,どんなことですか?,what,前に言ってた「ハン」に関係することですか?,what2,急に雰囲気が重く...,haha2,,
Label,what,,,,,,,
Text,さっき君が俺にもハンがあるのかって聞いただろ? それに関係することだよ。,,,,,,,
Jump,past,,,,,,,
Label,what2,,,,,,,
Char,Saja_What,,,,,,,
Text,"おお...勘がいいな、君。",,,,,,,
Char,Saja,,,,,,,
Text,"そうだ、それに関係することだ。",,,,,,,
Jump,past,,,,,,,
Label,haha2,,,,,,,
Speaker,,,,,,,,
Char,Saja,,,,,,,
Text,冥府の使者が冷たい目で見つめてくる...,,,,,,,
Speaker,使者,,,,,,,
Text,"ん、んん。とにかく...",,,,,,,
Jump,what,,,,,,,
Label,past,,,,,,,
Bg,,,,,,,,
Bgm,Memory,,,,,,,
HideChar,,,,,,,,
Text,俺も保育院で暮らしてたんだ...妹と一緒に。,,,,,,,
Text,すべてが満足というわけじゃなかったけど...普通にいい時間だったよ。,,,,,,,
Text,"ところがある日、保育院で火事が起きたんだ。",,,,,,,
Text,よりによって先生たちがちょっと席を外した隙だったから...,,,,,,,
Text,火が大きく広がるまで誰も何か対処することができなかったんだ。,,,,,,,
Text,"妹と一緒に逃げていた時、ふと上を見たら梁が落ちてきてて、俺は...",,,,,,,
Choice,それで...?,then,妹を助けたのか,then,一緒に死んだのか,no,,
Label,no,,,,,,,
Text,ん? それは違うけど...,,,,,,,
Jump,then,,,,,,,
Label,then,,,,,,,
Text,どうしても二人とも避けられそうになくて...,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Text,俺は妹を押したんだ。,,,,,,,
Text,幸い妹は助かったけど...,,,,,,,
Text,俺は生き残れなかった。,,,,,,,
Text,"冥府の使者が俺を迎えに来た時は、自分がどうやって死んだのか何も覚えてなかったんだ。",,,,,,,
Text,精神的ショックが大きいとそうなることがあるらしい...,,,,,,,
Text,"いずれにせよ、冥府での生活も悪くなかったよ。",,,,,,,
Text,"仲のいい人たちもできて、冥府の使者になりたいって頑張って勉強もして、そうやってうまく暮らしてたんだけど...",,,,,,,
Text,ある日突然<color=#26EEFF>すべてが</color>思い出されたんだ。,,,,,,,
Text,"なぜ俺が死んだのか、最後にどうやって死んだのか...",,,,,,,
Choice,......,then2,,,,,,
Label,then2,,,,,,,
Text,カウンセリングを受けて火に対する恐怖は克服したけど...,,,,,,,
Text,今でも鮮明に覚えてる。,,,,,,,
Text,妹が泣きながら俺に手を伸ばしていた姿を...,,,,,,,
Text,"その姿を思い出すと、俺はなんだか胸が苦しくなるんだ。",,,,,,,
Text,これが<color=#26EEFF>「ハン」</color>という感情なんだろうな?,,,,,,,
Choice,何に対するハンなのか,then3,,,,,,
Label,then3,,,,,,,
Text,妹には会いたいけど...,,,,,,,
Text,それが一番大きなハンというわけじゃなさそうなんだ。,,,,,,,
Text,それよりは...,,,,,,,
Text,'俺があの時にした<color=#26EEFF>選択</color>は本当に正しかったのか?',,,,,,,
Text,...という疑問に答えを出すことかな。,,,,,,,
Text,......,,,,,,,
Text,君はどう思う?,,,,,,,
Text,俺が犠牲になって妹を助けるのが正しかったのか?,,,,,,,
Text,"それとも、たとえ一緒に死んだとしても...妹と一緒に冥府に行くのが正しかったのか?",,,,,,,
Text,......,,,,,,,
Text,...いや、答えは自分で見つけないとな......,,,,,,,
Bgm,Comfort,,,,,,,
Bg,F4_C,,,,,,,
Char,Saja,,,,,,,
Text,"さて、また仕事に戻るか。",,,,,,,
Choice,励ましの言葉をかける。,fighting,慰めの言葉をかける。,fighting,ぎゅっと抱きしめる。,hug,,
Label,fighting,,,,,,,
Char,Saja_Sad,,,,,,,
Text,"あ、ありがとう...",,,,,,,
Text,そういう言葉は何度も聞いたけど...なかなか慣れないな。,,,,,,,
Char,Saja,,,,,,,
Text,じゃあ...また頑張っていこう。,,,,,,,
Flag,Saja_Corridor_4_Talk,,,,,,,
End,,,,,,,,
Label,hug,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Char,Saja_What,,,,,,,
Text,"な、何するんだ?!",,,,,,,
Speaker,,,,,,,,
Text,"冥府の使者は驚いたが、すぐに静かに抱擁を受け入れた。",,,,,,,
Text,心臓の音は聞こえない...,,,,,,,
Speaker,使者,,,,,,,
Text,びっくりした...次からは一言言ってから...,,,,,,,
Char,Saja_Angry2,,,,,,,
Shake,,,,,,,,
Sfx,Shake,,,,,,,
Text,"い、いや、だからってまたこうしていいってわけじゃないぞ!!",,,,,,,
