CommandType,Param1,Param2,Param3,Param4
Bg,E,,,
Bgm,Saja_Fake,,,
Char,Saja,,,
Speaker,使者,,,
Text,お前が新しく来た<color=#26EEFF>冥府協力部</color>の人間の新人か?,,,
Text,何をすべきかは分かってるんだろうな?,,,
Choice,分かってます,c1_1,分かりません,c1_2
Label,c1_1,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_Angry,,,
Text,何が分かるって? 新人のくせに!,,,
Jump,c1_end,,,
Label,c1_2,,,
Shake,,,,
Sfx,Shake,,,
Char,Saja_Angry,,,
Text,何だって? あまりにも堂々としてて呆れるな...,,,
Label,c1_end,,,
Char,Saja,,,
Text,"ここの死者たちは<color=#26EEFF>「怨み」</color>を持っていて、俺たちはその「怨み」を晴らさないといけない。",,,
Choice,「怨み」を晴らす?,han,,
Label,han,,,
Text,"そうだ、<color=#26EEFF>「怨み」</color>。",,,
Text,"悲しみと悔しさ、ある程度は諦めているけど同時に完全には諦められない...",,,
Text,...そんな感情のことだ。,,,
Text,"怨みを晴らさなければ、彼らはここから素直に去ろうとしないだろう。",,,
Text,そうなれば地縛霊になって人々を傷つけることになるかもしれない。,,,
Text,"こういうケースのために、現世からお前みたいな人間を俺たち冥府の使者にパートナーとして付けるんだよ。",,,
Text,亡くなったばかりの人々の心を解くのが得意なのは現世の人間だからな。,,,
Choice,難しそうですが...,ok,やってやりますよ。,ok
Label,ok,,,
Text,"まあ、心配するな。お前はただサポートして学ぶ役割だから。",,,
Text,この名簿さえあればそんなに難しい仕事じゃない......,,,
Speaker,,,,
Bgm,Saja,,,
Char,Saja_What,,,
Text,"冥府の使者は懐をあさりながら、ずっとあさりながら、青ざめた顔色がさらに青ざめていく。",,,
Choice,もしかして持ってこなかったんですか?,c2_1,ええ...先輩のくせに。,c2_2
Label,c2_1,,,
Speaker,使者,,,
Char,Saja_Angry2,,,
Shake,,,,
Sfx,Shake,,,
Text,も...持ってこなかったんじゃなくて置いてきたんだ!,,,
Jump,c2_end,,,
Label,c2_2,,,
Speaker,使者,,,
Char,Saja_Angry2,,,
Shake,,,,
Sfx,Shake,,,
Text,"な、なな、何だと?! こ、この野郎が...",,,
Label,c2_end,,,
Char,Saja_What,,,
Text,"た、大変だ。<size=15>持ってこなかったって言ったら怒られる...</size>じゃなくて!",,,
Text,"め、冥府まで往復する時間はないのに...ん、んん。",,,
Char,Saja,,,
Shake,,,,
Sfx,Shake,,,
Text,"そうだ、お前! お前が俺を助けて魂たちの名前も探してくれないとな。",,,
Choice,え? 僕がですか?,c3_1,なんで自分の仕事を僕に...,c3_2
Label,c3_1,,,
Text,"まあ、好都合じゃないか? 本来これは数年働いた後にできる仕事なんだぞ。<size=15>適当にこう言えばいいだろう...</size>",,,
Jump,c3_end,,,
Label,c3_2,,,
Char,Saja_What,,,
Text,"う、うぐっ...とにかく!",,,
Label,c3_end,,,
Text,とりあえず中に入ろう! どうすればいいか教えてやるから。,,,
Flag,Saja_Meet,,,
