CommandType,Param1,Param2,Param3,Param4,Param5,Param6
Bg,F1_C,,,,,
StopBgm,,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,もう...<color=#26EEFF>10人</color>の魂を全部集めたから仕事も終わったな。,,,,,
Text,"じゃあ、そろそろ行くか。",,,,,
Bgm,Truth,,,,,
Speaker,,,,,,
Text,......,,,,,
Text,このまま行ってはいけない気がする...,,,,,
Label,igi,,,,,
Choice,10人の魂?,ask,異議あり!,igiari,とにかく異議を唱える。,igiari
Label,ask,,,,,
Speaker,使者,,,,,
Text,"そうだ、人間9人、犬1匹。",,,,,
Text,それが何で?,,,,,
Jump,igi,,,,,
Label,igiari,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Speaker,,,,,,
Text,異議を唱えた!,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,まだ行っちゃダメだって?,,,,,
Text,10人の魂は全部連れてきたけど...何か残ってることがあるのか?,,,,,
Label,question1,,,,,
Speaker,,,,,,
Text,残っていることがあるという証拠を提示しよう。,,,,,
ChoiceWithClue,401号の日記,wrong1,事件資料,right1,302号の大家の掲示,wrong1
Label,wrong1,,,,,
Speaker,使者,,,,,
Text,何が問題なのか分からないんだが...,,,,,
Jump,question1,,,,,
Label,right1,,,,,
Speaker,使者,,,,,
Text,'死亡した人数は<color=#26EEFF>10人</color>と推定される'。合ってる内容だけど、なんで...,,,,,
Text,......,,,,,
Shake,,,,,,
Sfx,Shake,,,,,
Char,Saja_Angry,,,,,
Text,...あっ!,,,,,
Char,Saja,,,,,
Text,そうか。俺たちが連れてきた<color=#26EEFF>人間の魂</color>は9人...!,,,,,
Text,でも俺の記憶では名簿にも人間の魂は9人しかいなかったんだが...,,,,,
Choice,生存者の可能性,remain,,,,
Label,remain,,,,,
Char,Saja_Sad,,,,,
Text,生存者...一体どこに?,,,,,
Char,Saja_Angry,,,,,
Text,"1階から4階まで全部行ったけど、生きてる人は見えなかったじゃないか。",,,,,
Label,question2,,,,,
ChoiceWithClue,入口,wrong2,4階,wrong2,屋上部屋,right2
Label,wrong2,,,,,
Text,何? 一体その場所のどこに?,,,,,
Jump,question2,,,,,
Label,right2,,,,,
Char,Saja,,,,,
Text,屋上部屋に住んでる人がいるって? 一体誰が...,,,,,
Label,question3,,,,,
ChoiceWithClue,イ・アリン,wrong3,キム・アリン,right3,パク・ハユン,wrong3
Label,wrong3,,,,,
Text,それ誰だ?,,,,,
Jump,question3,,,,,
Label,right3,,,,,
StopBgm,,,,,,
Char,Saja_Sad,,,,,
Text,......!,,,,,
Text,"何だって? キム・アリンって、<size=15>...まさか、アリンが...?</size>",,,,,
Char,Saja_Angry,,,,,
Text,"は、早く屋上部屋に行こう!",,,,,
Bgm,Last,,,,,
Sfx,Footstep,,,,,
Bg,,,,,,
Wait,1,,,,,
HideChar,,,,,,
Speaker,,,,,,
Text,"屋上部屋で意識を失った女性を発見し、すぐに119番通報した。",,,,,
Speaker,使者,,,,,
Char,Saja_Sad,,,,,
Text,"アリン...<size=15>...あ、これじゃダメだよな...</size>",,,,,
Speaker,,,,,,
Text,"冥府の使者は口をきゅっと閉じて、部屋を見回し始めた。",,,,,
Text,部屋は平凡な若い女性のものらしく飾られていた。,,,,,
Text,"可愛らしい人形たち、友達と撮ったらしい写真、びっしり埋まった勉強ノート...",,,,,
Text,......,,,,,
Speaker,使者,,,,,
Char,Saja,,,,,
Text,俺と関係ある物は...見当たらないな。,,,,,
HideChar,,,,,,
Text,......,,,,,
Text,ははは...,,,,,
Sfx,Sit,,,,,
Text,はは...ははは!,,,,,
Speaker,,,,,,
Text,冥府の使者は床にどさっと座り込むと...,,,,,
Text,晴れやかに笑い始めた。,,,,,
Speaker,使者,,,,,
Text,......,,,,,
Text,ずっと悩んできたんだ。あの時アリンと一緒に死ぬ方がよかったのかって...,,,,,
Text,"でも、ああ...よかった。",,,,,
Text,"アリンが俺のように過去に縛られてるんじゃなくて、これからちゃんと前に進んでいるから...",,,,,
Text,もう...,,,,,
Text,長い間縛られていた感情から解放された気分だよ。,,,,,
Bg,,,,,,
Text,......,,,,,
StopBgm,,,,,,
Wait,1,,,,,
Bgm,Comfort,,,,,
Char,Saja,,,,,
Text,"それにしても、これで本当に終わりだな。",,,,,
Text,別れの時間だ。,,,,,
Choice,......,bye,別れたくないです。,bye,いつまた会えますか?,bye
Label,bye,,,,,
Char,Saja_Sad,,,,,
Text,"まあ、今は別れるけど...いつかまた会えるかもしれないな。",,,,,
Char,Saja,,,,,
Text,"俺が冥府に、君が冥府協力部にいる限りはな。",,,,,
Char,Saja_Angry,,,,,
Text,見てろよ!,,,,,
Text,次の事件では...,,,,,
Char,Saja,,,,,
Text,もっと先輩らしい姿を見せるからな。,,,,,
Credit,,,,,,
